1498587043.62 {'correction_signal': 2.5358, 'message': 'ok', 'error_signal': -0.0015}
1498587049.45 {'correction_signal': 2.5365, 'message': 'ok', 'error_signal': 0.0061}
1498587055.29 {'correction_signal': 2.5359, 'message': 'ok', 'error_signal': 0.0017}
1498587061.11 {'correction_signal': 2.5445, 'message': 'ok', 'error_signal': -0.0099}
1498587066.95 {'correction_signal': 2.5424, 'message': 'ok', 'error_signal': 0.0006}
1498587072.79 {'correction_signal': 2.5426, 'message': 'ok', 'error_signal': 0.0003}
1498587078.63 {'correction_signal': 2.5444, 'message': 'ok', 'error_signal': 0.0015}
1498587084.46 {'correction_signal': 2.543, 'message': 'ok', 'error_signal': 0.0014}
1498587090.29 {'correction_signal': 2.5453, 'message': 'ok', 'error_signal': 0.0055}
1498587096.13 {'correction_signal': 2.546, 'message': 'ok', 'error_signal': 0.0006}
1498587101.96 {'correction_signal': 2.5413, 'message': 'ok', 'error_signal': 0.0092}
1498587107.8 {'correction_signal': 2.5414, 'message': 'ok', 'error_signal': 0.0037}
1498587113.64 {'correction_signal': 2.5442, 'message': 'ok', 'error_signal': 0.0078}
1498587119.48 {'correction_signal': 2.5468, 'message': 'ok', 'error_signal': 0.0002}
1498587125.32 {'correction_signal': 2.5483, 'message': 'ok', 'error_signal': 0.0058}
1498587131.14 {'correction_signal': 2.5466, 'message': 'ok', 'error_signal': 0.0031}
1498587136.98 {'correction_signal': 2.545, 'message': 'ok', 'error_signal': 0.005}
1498587142.82 {'correction_signal': 2.5437, 'message': 'ok', 'error_signal': -0.004}
1498587148.66 {'correction_signal': 2.5468, 'message': 'ok', 'error_signal': 0.0049}
1498587154.5 {'correction_signal': 2.5474, 'message': 'ok', 'error_signal': -0.0026}
1498587160.34 {'correction_signal': 2.5467, 'message': 'ok', 'error_signal': -0.0049}
1498587166.16 {'correction_signal': 2.5494, 'message': 'ok', 'error_signal': -0.0006}
1498587172.0 {'correction_signal': 2.5471, 'message': 'ok', 'error_signal': -0.0014}
1498587177.84 {'correction_signal': 2.5494, 'message': 'ok', 'error_signal': 0.0018}
1498587183.68 {'correction_signal': 2.549, 'message': 'ok', 'error_signal': -0.0073}
1498587189.52 {'correction_signal': 2.5509, 'message': 'ok', 'error_signal': 0.0015}
1498587195.34 {'correction_signal': 2.5508, 'message': 'ok', 'error_signal': 0.0049}
1498587201.18 {'correction_signal': 2.5506, 'message': 'ok', 'error_signal': 0.0003}
1498587207.02 {'correction_signal': 2.5491, 'message': 'ok', 'error_signal': 0.009}
1498587212.86 {'correction_signal': 2.5506, 'message': 'ok', 'error_signal': -0.0031}
1498587218.68 {'correction_signal': 2.549, 'message': 'ok', 'error_signal': -0.005}
1498587224.52 {'correction_signal': 2.5446, 'message': 'ok', 'error_signal': -0.0003}
1498587230.36 {'correction_signal': 2.5462, 'message': 'ok', 'error_signal': -0.0079}
1498587236.2 {'correction_signal': 2.549, 'message': 'ok', 'error_signal': -0.0055}
1498587242.03 {'correction_signal': 2.5502, 'message': 'ok', 'error_signal': -0.0003}
1498587247.86 {'correction_signal': 2.5536, 'message': 'ok', 'error_signal': -0.0038}
1498587253.7 {'correction_signal': 2.5523, 'message': 'ok', 'error_signal': 0.0082}
1498587259.54 {'correction_signal': 2.5513, 'message': 'ok', 'error_signal': -0.0044}
1498587265.38 {'correction_signal': 2.5499, 'message': 'ok', 'error_signal': 0.004}
1498587271.2 {'correction_signal': 2.5498, 'message': 'ok', 'error_signal': 0.0107}
1498587277.04 {'correction_signal': 2.5497, 'message': 'ok', 'error_signal': -0.0021}
1498587282.88 {'correction_signal': 2.5526, 'message': 'ok', 'error_signal': 0.0064}
1498587288.71 {'correction_signal': 2.5551, 'message': 'ok', 'error_signal': 0.0009}
1498587294.54 {'correction_signal': 2.5522, 'message': 'ok', 'error_signal': 0.0037}
1498587300.38 {'correction_signal': 2.5511, 'message': 'ok', 'error_signal': 0.0079}
1498587306.21 {'correction_signal': 2.5464, 'message': 'ok', 'error_signal': -0.0049}
1498587312.05 {'correction_signal': 2.55, 'message': 'ok', 'error_signal': 0.0018}
1498587317.89 {'correction_signal': 2.5499, 'message': 'ok', 'error_signal': 0.0006}
1498587323.72 {'correction_signal': 2.5507, 'message': 'ok', 'error_signal': -0.0143}
1498587329.56 {'correction_signal': 2.5508, 'message': 'ok', 'error_signal': 0.0041}
1498587335.39 {'correction_signal': 2.553, 'message': 'ok', 'error_signal': -0.0049}
1498587341.23 {'correction_signal': 2.5526, 'message': 'ok', 'error_signal': 0.0055}
1498587347.06 {'correction_signal': 2.5558, 'message': 'ok', 'error_signal': -0.0032}
1498587352.89 {'correction_signal': 2.5539, 'message': 'ok', 'error_signal': -0.0005}
1498587358.73 {'correction_signal': 2.5515, 'message': 'ok', 'error_signal': -0.0015}
1498587364.57 {'correction_signal': 2.5521, 'message': 'ok', 'error_signal': 0.0003}
1498587370.41 {'correction_signal': 2.5513, 'message': 'ok', 'error_signal': 0.0018}
1498587376.23 {'correction_signal': 2.5497, 'message': 'ok', 'error_signal': 0.0066}
1498587382.07 {'correction_signal': 2.5497, 'message': 'ok', 'error_signal': 0.0006}
1498587387.91 {'correction_signal': 2.5524, 'message': 'ok', 'error_signal': 0.0052}
1498587393.75 {'correction_signal': 2.5561, 'message': 'ok', 'error_signal': -0.013}
1498587399.57 {'correction_signal': 2.5576, 'message': 'ok', 'error_signal': 0.0034}
1498587405.41 {'correction_signal': 2.5578, 'message': 'ok', 'error_signal': 0.0069}
1498587411.25 {'correction_signal': 2.5548, 'message': 'ok', 'error_signal': 0.0058}
1498587417.08 {'correction_signal': 2.5528, 'message': 'ok', 'error_signal': 0.0026}
