1498624016.97 {'correction_signal': 3.4549, 'message': 'ok', 'error_signal': -0.0055}
1498624022.79 {'correction_signal': 3.459, 'message': 'ok', 'error_signal': -0.0012}
1498624028.61 {'correction_signal': 3.4606, 'message': 'ok', 'error_signal': 0.0034}
1498624034.45 {'correction_signal': 3.4615, 'message': 'ok', 'error_signal': -0.0053}
1498624040.27 {'correction_signal': 3.46, 'message': 'ok', 'error_signal': 0.0009}
1498624046.11 {'correction_signal': 3.4598, 'message': 'ok', 'error_signal': 0.0014}
1498624051.93 {'correction_signal': 3.4597, 'message': 'ok', 'error_signal': -0.0029}
1498624057.76 {'correction_signal': 3.4595, 'message': 'ok', 'error_signal': -0.0043}
1498624063.6 {'correction_signal': 3.4598, 'message': 'ok', 'error_signal': -0.0003}
1498624069.42 {'correction_signal': 3.4588, 'message': 'ok', 'error_signal': 0.0027}
1498624075.26 {'correction_signal': 3.4573, 'message': 'ok', 'error_signal': -0.0003}
1498624081.08 {'correction_signal': 3.4591, 'message': 'ok', 'error_signal': 0.0024}
1498624086.92 {'correction_signal': 3.4577, 'message': 'ok', 'error_signal': 0.0008}
1498624092.74 {'correction_signal': 3.4567, 'message': 'ok', 'error_signal': 0.0027}
1498624098.57 {'correction_signal': 3.4584, 'message': 'ok', 'error_signal': -0.0032}
1498624104.41 {'correction_signal': 3.4577, 'message': 'ok', 'error_signal': -0.0003}
1498624110.23 {'correction_signal': 3.4577, 'message': 'ok', 'error_signal': -0.0031}
1498624116.07 {'correction_signal': 3.4611, 'message': 'ok', 'error_signal': -0.006}
1498624121.89 {'correction_signal': 3.4637, 'message': 'ok', 'error_signal': -0.0003}
1498624127.73 {'correction_signal': 3.4654, 'message': 'ok', 'error_signal': -0.0002}
1498624133.55 {'correction_signal': 3.4604, 'message': 'ok', 'error_signal': -0.0002}
1498624139.39 {'correction_signal': 3.4637, 'message': 'ok', 'error_signal': 0.0134}
1498624145.21 {'correction_signal': 3.4623, 'message': 'ok', 'error_signal': 0.0043}
1498624151.04 {'correction_signal': 3.4627, 'message': 'ok', 'error_signal': 0.0023}
1498624156.88 {'correction_signal': 3.4575, 'message': 'ok', 'error_signal': 0.009}
1498624162.7 {'correction_signal': 3.4623, 'message': 'ok', 'error_signal': -0.0049}
1498624168.54 {'correction_signal': 3.4583, 'message': 'ok', 'error_signal': 0.0044}
1498624174.36 {'correction_signal': 3.4635, 'message': 'ok', 'error_signal': -0.0023}
1498624180.2 {'correction_signal': 3.4608, 'message': 'ok', 'error_signal': -0.0043}
1498624186.02 {'correction_signal': 3.46, 'message': 'ok', 'error_signal': -0.0015}
1498624191.86 {'correction_signal': 3.4589, 'message': 'ok', 'error_signal': 0.0024}
1498624197.68 {'correction_signal': 3.4617, 'message': 'ok', 'error_signal': -0.0069}
1498624203.51 {'correction_signal': 3.4606, 'message': 'ok', 'error_signal': 0.0053}
1498624209.35 {'correction_signal': 3.4632, 'message': 'ok', 'error_signal': 0.0031}
1498624215.17 {'correction_signal': 3.4658, 'message': 'ok', 'error_signal': 0.0089}
1498624221.01 {'correction_signal': 3.4624, 'message': 'ok', 'error_signal': -0.0034}
1498624226.83 {'correction_signal': 3.4591, 'message': 'ok', 'error_signal': -0.0014}
1498624232.67 {'correction_signal': 3.4585, 'message': 'ok', 'error_signal': -0.0055}
1498624238.49 {'correction_signal': 3.4594, 'message': 'ok', 'error_signal': -0.0018}
1498624244.33 {'correction_signal': 3.4591, 'message': 'ok', 'error_signal': 0.0002}
1498624250.15 {'correction_signal': 3.4601, 'message': 'ok', 'error_signal': 0.0073}
1498624255.98 {'correction_signal': 3.4633, 'message': 'ok', 'error_signal': -0.0018}
